Wall time,Step,Value
1566981912.7308235,0,0.33080554008483887
1566983347.5426278,1,0.17680445313453674
1566984661.6248882,2,0.15953992307186127
1566985883.2484713,3,0.10134406387805939
1566987161.1523614,4,0.13362155854701996
1566988429.5681674,5,0.0799129530787468
1566989698.1429255,6,0.06598929315805435
1566990980.3135018,7,0.033764440566301346
1566992218.249024,8,0.05709925666451454
1566993550.966296,9,0.10446161031723022
1566994756.417862,10,0.04334982857108116
1566996075.2027707,11,0.04287445917725563
1566997283.8783243,12,0.01594637520611286
1566998593.6521146,13,0.010174808092415333
1566999788.0927105,14,0.023336509242653847
1567001066.7718365,15,0.01151567604392767
1567002257.9780982,16,0.009081890806555748
1567003634.4893181,17,0.013158454559743404
1567004876.9319222,18,0.007366266567260027
1567006175.03083,19,0.006830474827438593
1567007438.8919673,20,0.00565799605101347
1567008712.379309,21,0.012716145254671574
1567010001.4386356,22,0.011368717066943645
1567011259.946534,23,0.014891413040459156
1567012571.7811737,24,0.0037464944180101156
1567013801.64985,25,0.009295329451560974
1567015089.7729578,26,0.00785528589040041
1567016300.5754616,27,0.0052263508550822735
1567017608.214542,28,0.009343058802187443
1567018969.2026503,29,0.011074727401137352
