Wall time,Step,Value
1566402022.1050794,0,0.3664485216140747
1566402494.2822113,1,0.21328461170196533
1566402977.6461258,2,0.1413678675889969
1566403454.245832,3,0.11348550766706467
1566403933.7211576,4,0.13467077910900116
1566404418.8220854,5,0.14466309547424316
1566404899.9696019,6,0.11055799573659897
1566405375.6269352,7,0.09685777127742767
1566405848.6046329,8,0.08431291580200195
1566406325.9939268,9,0.08879698067903519
1566406797.7027326,10,0.08911076933145523
1566407268.046373,11,0.08565705269575119
1566407747.922772,12,0.0612039677798748
1566408236.4628854,13,0.057695720344781876
1566408716.3593147,14,0.07487604022026062
1566409196.0287669,15,0.0645216554403305
1566409680.4830759,16,0.05204391106963158
1566410161.7785428,17,0.06256234645843506
1566410634.2860932,18,0.052573781460523605
1566411109.4892466,19,0.06192846596240997
1566411588.2368057,20,0.05122724175453186
1566412060.9741,21,0.06143819913268089
1566412531.0952694,22,0.05971158295869827
1566413007.5992582,23,0.05673154443502426
1566413483.4604063,24,0.049629539251327515
1566413973.4213605,25,0.05162300169467926
1566414451.2515614,26,0.04961138963699341
1566414933.676429,27,0.055811647325754166
1566415416.1597006,28,0.060851022601127625
1566415911.5788643,29,0.05192359536886215
